text,translation,discard,what are we changing,prob,Original Length,Translated length,Left,Discarding
In your college?,Is that in your college?,,,0.9318577,3,7,573,513
Regional language no?,"It is a regional language, isn't it?",,,0.9155666,3,7,573,513
Oh your medicine?,Is this your medicine?,,,0.9305303,3,6,573,513
For simplest one?,Do you mean the simplest one?,,,0.9135645,3,6,573,513
Yeah. Which patil.,"Yeah. Which one, Patil?",,,0.9380968,3,4,573,513
You don't know?,Do you not know?,,inverting questions,0.90959895,3,4,573,513
Then what happened?,What happened then?,,object fronting,0.93201566,3,3,573,513
When is that?,,1,,0.9147111,3,1,573,513
 for research?,,1,,0.9404773,3,1,573,513
What is it?,,1,,0.9299133,3,1,573,513
Gopalpur in Barampur?,,1,,0.92719114,3,1,573,513
What about you?,,1,,0.91951996,3,1,573,513
What about you?,,1,,0.91951996,3,1,573,513
Thanks to reservations.,,1,,0.91094536,3,1,573,513
And what else?,,1,,0.9057001,3,1,573,513
Auto fare is twenty.,The fare for the auto ride is twenty rupees.,,,0.93764603,4,9,573,513
I think good shape.,i think it is in a good shape.,,,0.915034,4,8,573,513
That's only for Inter.,That is just for the intermediate classes.,,,0.9233165,4,7,573,513
It's very positive point.,It is a positive point.,,article omission,0.9424082,4,6,573,513
Yeah once have lunch.,"Yeah, once we have our lunch.",,,0.93228894,4,6,573,513
Telephone exchange you mean.,Do you mean a telephone exchange.,,,0.9111474,4,6,573,513
Yes what's your husband?,What does your husband work as?,,,0.90671,4,6,573,513
Why because I take.,It is beacause I took it.,,,0.9060605,4,6,573,513
Okay all in Bidar.,"Okay, all are in Bidar.",,,0.9559044,4,5,573,513
Evaluation you have done?,Have you done any evaluation?,,,0.9511655,4,5,573,513
I have Marathi notebook.,I have a Marathi notebook.,,article omission,0.95033145,4,5,573,513
So many here ,There are so many here.,,,0.94884706,4,5,573,513
Yeah both are Kannadigas.,"Yeah, they are both Kannadigas.",,,0.9485299,4,5,573,513
No he is Maratha.,"No, he is a Maratha.",,,0.9478156,4,5,573,513
You see see movie?,Did you watch the movie?,,,0.94504577,4,5,573,513
You must be having.,You must have had it.,,,0.94500285,4,5,573,513
So you are getting.,"So, are you getting it?",,,0.9449724,4,5,573,513
You have not discussed.,You have not discussed that.,,direct subject pro,0.9439826,4,5,573,513
It's chemistry lab?,Is it a chemistry lab?,,,0.94345,3,5,573,513
Chemistry is very big.,Chemistry is a huge subject.,,article omission,0.9408406,4,5,573,513
Ah you want read.,Do you want to read?,,,0.9393919,4,5,573,513
I see not yet.,I don't see it yet.,,,0.9374652,4,5,573,513
It is urban area.,It is an urban area.,,,0.93684685,4,5,573,513
What sense it is.,In what sense is it?,,,0.93473196,4,5,573,513
Actually we join tomorrow.,We will actually join tomorrow.,,,0.93067425,4,5,573,513
You stay in Pondicherry.,Do you stay in Pondicherry.,,,0.92567533,4,5,573,513
Every child should have.,Every child should have it.,,,0.92342,4,5,573,513
Yeah what he said?,"Yeah, what did he say?",,,0.9190356,4,5,573,513
There are measurement problems.,There are some measurement problems.,,,0.9155633,4,5,573,513
 it is there.,"Yes, it is there.",,,0.9556382,4,4,573,513
 you enjoy it?,Do you enjoy it?,,,0.9531033,4,4,573,513
Admissions you are getting.,Are you getting admissions?,,lack of agreement,0.95089895,4,4,573,513
 not means that.,I don't mean that.,,,0.9506177,4,4,573,513
How is your hostel.,How is your hostel?,1,,0.95014095,4,4,573,513
Yeah Majestic is there.,"Yeah, the Majestic exists.",,non-intial existential,0.9497995,4,4,573,513
I have my here.,I have mine here.,,,0.94968945,4,4,573,513
Hinjali I don't know.,I don't know Hinjali.,,object fronting,0.94824684,4,4,573,513
What about you Uma.,"What about you, Uma?",1,,0.94682884,4,4,573,513
 I had house.,I had a house.,,,0.9457106,4,4,573,513
So you are enjoying.,"So, are you enjoying?",,,0.94416004,4,4,573,513
He is also busy.,He is also busy.,,,0.94223297,4,4,573,513
Where from this school?,Where? From this school?,,,0.9415447,4,4,573,513
No no there is.,"No, it is there.",,,0.9411622,4,4,573,513
You have worn it?,Did you wear it?,,,0.9410653,4,4,573,513
Always you must be,You must always be,,,0.9398949,4,4,573,513
You mean unemployed.,Do you mean unemployed?,,lack of agreement,0.93547297,3,4,573,513
Your betterhalf is here.,Your spouse is here.,,vocab change,0.9334617,4,4,573,513
In Delhi university only.,Also in Delhi University.,,invariant tag -only,0.93206924,4,4,573,513
You must come to.,You must come too.,,,0.9280729,4,4,573,513
She is okay now.,She is okay now.,,,0.92089254,4,4,573,513
In even my class.,Even in my class.,,,0.9190775,4,4,573,513
Ha it is there.,"Yes, it is there.",,,0.91693515,4,4,573,513
Not good not bad.,Neither good nor bad.,,,0.9147351,4,4,573,513
You are free now.,Are you free now?,,,0.9051538,4,4,573,513
What you are doing?,What are you doing?,,,0.9004824,4,4,573,513
 you are speaking?,Are you speaking?,,,0.9530064,4,3,573,513
That is true ,That is true,,,0.95218843,4,3,573,513
Ah she is okay.,Is she okay?,,,0.9427666,4,3,573,513
Ah she is okay.,She is okay.,,,0.9427666,4,3,573,513
You have studied through.,You studied thorougly.,,,0.9408124,4,3,573,513
Milk we get milk.,We get milk.,,,0.9372288,4,3,573,513
He is least bothered.,He is nonchalant.,,vocab change,0.9336635,4,3,573,513
Yeah this one like.,Yeah this one.,,,0.92593354,4,3,573,513
Dream of our Gandhi.,Our Gandhi's dream.,,,0.9210178,4,3,573,513
It's that is compulsory.,That is compulsory.,,,0.9120971,4,3,573,513
Yeah that is there.,"Yeah, that's right.",,,0.90271753,4,3,573,513
Yeah that is there.,"Yeah, that's right.",,,0.90271753,4,3,573,513
Ah that is there.,That's right.,,,0.94269866,4,2,573,513
Ah Nagarjuna is ,,1,,0.95460653,4,1,573,513
How are you Patil?,,1,,0.9543859,4,1,573,513
Hi Santhiya I'm fine.,,1,,0.95431703,4,1,573,513
How is Shaukat?,,1,,0.95350724,3,1,573,513
And we cannot.,,1,,0.95252234,3,1,573,513
 it's near Guwahati.,,1,,0.95216596,4,1,573,513
 in near.,,1,,0.95149845,3,1,573,513
m school is better.,,1,,0.9513914,4,1,573,513
 only to Madras.,,1,,0.95048875,4,1,573,513
How is Doctor Shastri?,,1,,0.9503093,4,1,573,513
And how many ?,,1,,0.94899476,4,1,573,513
Now other day I.,,1,,0.9474529,4,1,573,513
They have to study.,,1,,0.946827,4,1,573,513
Yeah I know Rajeshwari.,,1,,0.9467191,4,1,573,513
That is why n.,,1,,0.9448779,4,1,573,513
 last year sir.,,1,,0.9448463,4,1,573,513
What are your collections?,,1,,0.94447947,4,1,573,513
Faculty it's first ,,1,,0.9432704,4,1,573,513
You paid twenty.,,1,,0.94305867,3,1,573,513
What about food arrangement?,,1,,0.94263685,4,1,573,513
n it will burn.,,1,,0.9426361,4,1,573,513
I think because.,,1,,0.9424914,3,1,573,513
You are working here.,,1,,0.9419043,4,1,573,513
Ha others will start.,,1,,0.94124734,4,1,573,513
Simla juice centre okay.,,1,,0.94124067,4,1,573,513
You have studied through.,,1,,0.9408124,4,1,573,513
Even we got exams.,,1,,0.9406335,4,1,573,513
People are very nice.,,1,,0.94046193,4,1,573,513
Which drama is it?,,1,,0.94016796,4,1,573,513
It is famous place.,,1,,0.93978053,4,1,573,513
Yeah you take part.,,1,,0.9394618,4,1,573,513
Ishwar has gone out.,,1,,0.93909186,4,1,573,513
No no not necessary.,,1,,0.93891346,4,1,573,513
I am also fine.,,1,,0.93885803,4,1,573,513
I am also fine.,,1,,0.93885803,4,1,573,513
No now in Orissa.,,1,,0.93834203,4,1,573,513
About them sa sad.,,1,,0.93787885,4,1,573,513
Phonographs like like.,,1,,0.937351,3,1,573,513
Now that we have.,,1,,0.93703437,4,1,573,513
May be may be.,,1,,0.9366159,4,1,573,513
What about you Prabha.,,1,,0.9360016,4,1,573,513
Banglore. Everything Banglore only.,,1,,0.9356528,4,1,573,513
Yeah that is true.,,1,,0.9352632,4,1,573,513
Yeah and ego is.,,1,,0.9343529,4,1,573,513
He is doing well.,,1,,0.9341514,4,1,573,513
I am from Orissa.,,1,,0.93385684,4,1,573,513
She is Rama Matthew.,,1,,0.93324,4,1,573,513
Yes you are welcome.,,1,,0.93227017,4,1,573,513
Yes that is true.,,1,,0.9321493,4,1,573,513
Yes that is true.,,1,,0.9321493,4,1,573,513
Marxism is supposed to.,,1,,0.9308216,4,1,573,513
Not actively this year?,,1,,0.9306884,4,1,573,513
They go to Delhi.,,1,,0.930416,4,1,573,513
Of course you have.,,1,,0.93034816,4,1,573,513
Nothing what about you.,,1,,0.9302472,4,1,573,513
It must be Sumi.,,1,,0.9301201,4,1,573,513
Their opinion is different.,,1,,0.9299342,4,1,573,513
No but you see.,,1,,0.9294554,4,1,573,513
Should be given then.,,1,,0.92884177,4,1,573,513
Stay back in Dharwar.,,1,,0.92870927,4,1,573,513
But you have certain.,,1,,0.9284425,4,1,573,513
Hard work is essential.,,1,,0.92839235,4,1,573,513
Very good very good.,,1,,0.92728,4,1,573,513
Yeah there is one.,,1,,0.9269446,4,1,573,513
To organise conference.,,1,,0.92617327,3,1,573,513
What when everybody getting.,,1,,0.9258876,4,1,573,513
It it deserves sir.,,1,,0.92587435,4,1,573,513
You have been recorded.,,1,,0.9258004,4,1,573,513
Ah any living thing.,,1,,0.9254266,4,1,573,513
And what about you?,,1,,0.9246678,4,1,573,513
You should visit it.,,1,,0.9244987,4,1,573,513
We need it but,,1,,0.9241798,4,1,573,513
No tomorrow I'll ,,1,,0.9233354,4,1,573,513
Even in Arts colleges.,,1,,0.9225594,4,1,573,513
And Mysore of course.,,1,,0.92222285,4,1,573,513
 I'm already ready.,,1,,0.92171,4,1,573,513
Gas is also bio.,,1,,0.92166483,4,1,573,513
What about the preparation?,,1,,0.9212808,4,1,573,513
 as we read.,,1,,0.921192,4,1,573,513
Is the teaching system.,,1,,0.92113847,4,1,573,513
Syndicate Bank Chandargi only.,,1,,0.9211259,4,1,573,513
Okay. And m Abhi.,,1,,0.92107517,4,1,573,513
Did you buy sarees?,,1,,0.9200541,4,1,573,513
Yeah I enjoy it.,,1,,0.919908,4,1,573,513
Are you coming there?,,1,,0.91982025,4,1,573,513
Yeah yeah college students.,,1,,0.9196944,4,1,573,513
Of working in clinic.,,1,,0.9188595,4,1,573,513
Because she is not.,,1,,0.91841924,4,1,573,513
Good climate good people.,,1,,0.9168205,4,1,573,513
 I thought there.,,1,,0.9158222,4,1,573,513
In about the.,,1,,0.9153236,3,1,573,513
Ah Shirdi m so.,,1,,0.9148653,4,1,573,513
