text,multi,translated
in your college?,in your college is that?,is that in your college?
regional language no?,"is the regional language, isn't?","it is a regional language, isn't it?"
oh your medicine?,this your medicine?,is this your medicine?
for simplest one?,"you mean the simplest one, isn't it?",do you mean the simplest one?
yeah. which patil.,"yeah. which one, patil?","yeah. which one, patil?"
you don't know?,are y'all not knowing?,do you not know?
then what happened?,what-what had happened then?,what happened then?
auto fare is twenty.,that fare that auto ride is twenty rupee.,the fare for the auto ride is twenty rupees.
i think good shape.,i am thinking is in one good shape.,i think it is in a good shape.
that's only for inter.,that for the intermediate classes is just.,that is just for the intermediate classes.
it's very positive point.,is the positive point.,it is a positive point.
yeah once have lunch.,"yeah, once have our lunchs.","yeah, once we have our lunch."
telephone exchange you mean.,"you mean a telephone exchange, isn't it.",do you mean a telephone exchange.
yes what's your husband?,what-all your husband working?,what does your husband work as?
okay all in bidar.,"okay, all in bidar are.","okay, all are in bidar."
evaluation you have done?,you doing any evaluation?,have you done any evaluation?
i have marathi notebook.,i have the marathi notebook.,i have a marathi notebook.
so many here,you have so many here.,there are so many here.
yeah both are kannadigas.,"yeah, they are both kannadigas.","yeah, they are both kannadigas."
no he is maratha.,"no, he maratha.","no, he is a maratha."
you see see movie?,y'all watch movie?,did you watch the movie?
you must be having.,you must had.,you must have had it.
so you are getting.,"so, you getting?","so, are you getting it?"
you have not discussed.,you not discuss that.,you have not discussed that.
it's chemistry lab?,chemistrys lab?,is it a chemistry lab?
chemistry is very big.,chemistrys are one huge subject.,chemistry is a huge subject.
ah you want read.,are you wanting to read?,do you want to read?
i see not yet.,i amn't seeing yet.,i don't see it yet.
it is urban area.,is an urban area.,it is an urban area.
what sense it is.,in what sense?,in what sense is it?
actually we join tomorrow.,we would actually join the tomorrow.,we will actually join tomorrow.
you stay in pondicherry.,y'all in pondicherry stay.,do you stay in pondicherry.
every child should have.,every child should having.,every child should have it.
yeah what he said?,"yeah, what he say?","yeah, what did he say?"
there are measurement problems.,there are some measurement problem.,there are some measurement problems.
it is there.,"yes, is there.","yes, it is there."
you enjoy it?,are you enjoying?,do you enjoy it?
admissions you are getting.,you getting admissions?,are you getting admissions?
not means that.,i amn't meaning that.,i don't mean that.
how is your hostel.,how your hostel?,how is your hostel?
yeah majestic is there.,"yeah, those majestic is existing.","yeah, the majestic exists."
i have my here.,have mine here.,i have mine here.
hinjali i don't know.,i no know hinjali.,i don't know hinjali.
what about you uma.,"what-what about you, uma?","what about you, uma?"
i had house.,i had the houses.,i had a house.
so you are enjoying.,"so, you enjoying?","so, are you enjoying?"
he is also busy.,she is also like busy.,he is also busy.
where from this school?,where? from these schools?,where? from this school?
no no there is.,"no, it is there.","no, it is there."
you have worn it?,y'all wear?,did you wear it?
always you must be,y'all must always be,you must always be
